row,subjID,free_response_str,free_response_coder1,free_response_coder2,equal?,Revision
32,user_1579215628572,"The presence of a single purple spot in the lure seemed to be a common factor within all the lures that caught fish. Once I realized that, it became the main rule I used to decide whether or not each lure combination will catch fish.",0,0,TRUE,0
33,user_1579194713221,Shape,0,0,TRUE,0
34,user_1579194668636,The bottom of the lure must contain some form of a point.,1,1,TRUE,1
35,user_1579287829598,If the bottom portion was similar to a previous example that caught the fish.,0,0,TRUE,0
36,user_1579198652845,"The upper shape of the fish lure could be any shape, however the bottom shape MUST be pointy (triangle, diamond, etc.)",1,1,TRUE,1
37,user_1579208311948,It seems like the combinations that have bottom parts with pointy ends catch fish.,1,1,TRUE,1
38,user_1579305586898,At first it was if it is not the same it won't catch fish but now I think if the top which was the bigger part is the same than it will catch fish or not if the given combo doesn't catch fish,0,0,TRUE,0
39,user_1579198000158,Shape of the lure,0,0,TRUE,0
40,user_1579215578091,"The single best rule for deciding whether each lure combination caught a fish is whether it had a pointy or round bottom end. The top article did not matter. The pointy bottom end was able to catch the fish, most likely because of its pointy characteristic that would pierce the fish's mouth and hang onto it.",1,1,TRUE,1
41,user_1579208189179,"If the second lure has similarities with the previous lure, mainly looking at colors and shapes.",0,0,TRUE,0
42,user_1579284327417,"Based on previous combinations of shapes, if a shape repeatedly did not catch fish in the past, then I assumed it would not work in the future. For example, the circle seemed to not catch fish, so when a smaller circle was attached to a larger object, I would assume it would not catch a fish.",0,0,TRUE,0
43,user_1579197924760,"whether the small front part contains round/smooth shapes. If the shape contains round or smooth part, then it doesn't catch the fish. If the front part is square or triangle, then it catches the fish.",1,0,FALSE,0
44,user_1579215634553,I started to realize that it had to do with the shape of the bottom piece. The round pieces did not catch fish while the ones with corners did.,1,1,TRUE,1
45,user_1579215695067,The attachment at the bottom should not be round.,1,0,FALSE,1
46,user_1579219138051,I checked whether or not the lure resembled prey for the fish or if it resembled a predator.,0,0,TRUE,0
47,user_1579212222581,"only with the shape that has corners or angles, such as square and triangle, will be able to catch the fish",1,1,TRUE,1
48,user_1579305885489,the single best rule i used was to observe the smaller shape and make sure that the end on the bottom of it was pointed.,1,1,TRUE,1
49,user_1579284396381,"Guessing at first, then I start to combine the lure shape with my real life fishing experience, next I compare the difference between the shapes.",0,0,TRUE,0
50,user_1579212329168,The best combination for catching fish is whether or not two shapes are similar to each other.,0,0,TRUE,0
51,user_1579287804113,The shapes of the lure,0,0,TRUE,0
52,user_1579305912827,whether the similar pattern has shown in the previous cases,0,0,TRUE,0
53,user_1579219186091,if it had a triangle in the combination,0,0,TRUE,0
54,user_1579197986612,the combination that will catch fish is the one with upside down triangle bottom,0,0,TRUE,0
55,user_1579305561565,"The fish cannot latch onto the bottom,smaller attachment when it is round;can only latch on when it is angular. That is why all of the fish latched onto the diamond or triangular attachments but not to the round ones. I don't think color or the shape of the larger body of the latch are important.",1,1,TRUE,1
56,user_1579287849867,"I will compare the given shape of combination in the question and the previous ones and see if they have anything in common. If the combination has the features of those successful examples, then I would assume it can catch fish.",0,0,TRUE,0
57,user_1579287866563,"In deciding which lure is optimal for catching fish, I looked for the presence of a purple dot on the larger base of the lure, and a pointed smaller shape attached to the base. I think the last successful lure, though, had a pointed base, and a rounded attachment, which is the opposite trend that I observed in the precursor lures.",0,0,TRUE,0
58,user_1579284401246,"The rule I used for deciding whether or not each lure combination would catch fish was based on the smaller end part of the lure. If the shape had corners and straight lines, the fish would bite. If the end of the lure was rounded the fish would not.",1,1,TRUE,1
59,user_1579215646109,i do not know[newline],0,0,TRUE,0
60,user_1579219134310,I focused on whether the lure combination had a purple dot or a circular shape on the top.,0,0,TRUE,0
61,user_1579208211705,using the shape and the color of the lure combination was how I decided whether or not my friend will be able to catch a fish.,0,0,TRUE,0
62,user_1579219155320,"Is the top shape smooth, and is the bottom shape pointy",0,0,TRUE,0
63,user_1579212320210,the lure needs to have pointy edges at the bottom,1,1,TRUE,1
64,user_1579208201031,I tried to guess if it was shape combination that helped me decide whether or not to use each lure combination,0,0,TRUE,0
65,user_1579208242783,i used the rule of shape to determine if the fish would bite the lure. I also used as a second the color that the lures used.,0,0,TRUE,0
66,user_1579219127588,"The lure must have two purple dots, at least one edge sticking out, and semi circular shape that the top.",0,0,TRUE,0
67,user_1579284368207,How much it matched the past combinations that did catch a fish and how much it didn't match past combinations that did not catch a fish.,0,0,TRUE,0
68,user_1579212345756,Lure combination has to have sharp edges in both top and bottom to catch the fish.,0,0,TRUE,0
69,user_1579287784902,"the rule I used is if a lure that catches fish shares more than 2 similarities with another lure, for example it they share the same base (ex. yellow triangle) and attachment (ex. blue square) but the second lure doesn't share the third piece of the lure (ex. purple circle). If they share more similarities with each other in theory the other lure should also catch fish.",0,0,TRUE,0
70,user_1573681812685,I noticed that for those with a pointy bottom helped catch fish than the ones with a circular bottom,1,1,TRUE,1
71,user_1573678265178,"I looked in the bottom smaller shapes of the lure to determine my decision. It seem that the shapes that had sharp points caught the fish, and the shape that are round and doesn't have sharp edges didn't catch the fish.",1,1,TRUE,1
72,user_1573681828983,"The single, best rule I used whether the combinations would catch fish was the bottom half of the combination, if it was similar to successful combinations I used it as an indicator of success for catching fish and vice versa",0,0,TRUE,0
73,user_1573682158469,The single best rule I used was if the lure combinations were of a circular main body and triangle attachment.,0,0,TRUE,0
74,user_1573664448979,"If the lure combination has a pointed bottom, it will catch a fish",1,1,TRUE,1
75,user_1573668338160,The lower shape must be a shuriken or a rhombus and the the larger top shape can vary.,0,0,TRUE,0
76,user_1573678369310,Looking at the shape on the bottom of the lure was the best observation,0,0,TRUE,0
77,user_1573678954991,presence of 1 purple circle in either of the shapes in the combination,0,0,TRUE,0
78,user_1573683140886,"Based on the first observation, I know that fish like color red, yellow and spot on the shape. But at first, I am not quite sure about the rule. So i did not apply it. After few more observations, I applied the rule.",0,0,TRUE,0
79,user_1573678145931,"The bottom part of the lure must have more than 1 side (so a square, a rectangle, a triangle for instance). If it does not, then it cannot catch fish in the lake.",1,1,TRUE,1
80,user_1573664082430,"The pattern that I saw the worked for all of the fish included the bottom portion of the lure being a shape that has a defined point, compared to a circle or oval.If the lure had a defined pointed shape, then the lure attracted the fish.",1,1,TRUE,1
81,user_1573678642909,I matched up the common colors and shapes of the lures that did work,0,0,TRUE,0
82,user_1573668073513,"Based on the patterns, the fish will bite when the lure has a larger rounded piece and a smaller pointy piece to resemble a fish body, or when the lure has two pointy pieces. The fish did not bite on the lures with any other combinations.",1,0,FALSE,1
83,user_1573668222017,"I looked at shape, size, pattern and color of each lure combination and just based my assumptions off of that and what the fishes previously liked or didn't like.",0,0,TRUE,0
84,user_1573668320610,Seeing if the shape on top matched with any previous types of successful lures,0,0,TRUE,0
85,user_1573682233340,whether there is some similarities with the previous ones that could caught the fish,0,0,TRUE,0
86,user_1573664238101,I could not come up with a rule,0,0,TRUE,0
